target,model,variant,selected_by_validation,image_stream_used,n_train,n_valid,n_test,valid_AUROC,valid_composite_score,valid_Sensitivity,valid_Specificity,best_threshold,test_AUROC,test_AUPRC,test_F1,test_Balanced_Acc,test_Sensitivity,test_Specificity,test_PPV_Precision,test_NPV,test_TP,test_TN,test_FP,test_FN,test_degenerate_prediction,test_MCC,test_Loss,test_AUROC_CI95_lower,test_AUROC_CI95_upper,test_generalization_gap,test_skipped_nonfinite_batches
target_er,Step09FusionBenchmark,radiomics_only,False,False,100,19,16,0.6888888888888889,0.6505555555555556,0.7,0.7777777777777778,0.55,0.5396825396825397,0.5414664700378986,0.2,0.46031746031746035,0.14285714285714285,0.7777777777777778,0.3333333333333333,0.5384615384615384,1,7,2,6,False,-0.10087125544480041,0.7200318872928619,0.22213541666666667,0.8545454545454545,0.14920634920634923,0
target_er,Step09FusionBenchmark,image_only,True,True,100,19,16,0.6666666666666667,0.69,0.6,0.8888888888888888,0.5,0.5238095238095238,0.5529238618524333,0.5333333333333333,0.5634920634920635,0.5714285714285714,0.5555555555555556,0.5,0.625,4,5,4,3,False,0.1259881576697424,1.6860873103141785,0.20631868131868136,0.8183621933621933,0.1428571428571429,0
target_er,Step09FusionBenchmark,hybrid_fusion,False,True,100,19,16,0.6111111111111112,0.6344444444444445,0.6,0.7777777777777778,0.5,0.7301587301587302,0.7107142857142856,0.5454545454545454,0.6587301587301587,0.42857142857142855,0.8888888888888888,0.75,0.6666666666666666,3,8,1,4,False,0.363696483726654,0.6497716903686523,0.4217826704545455,0.9667063492063492,-0.11904761904761907,0
target_pr,Step09FusionBenchmark,radiomics_only,False,False,97,19,16,0.653846153846154,0.6480769230769231,0.5,0.7692307692307693,0.3,0.5636363636363637,0.4091666666666667,0.25,0.5090909090909091,0.2,0.8181818181818182,0.3333333333333333,0.6923076923076923,1,9,2,4,False,0.021591675854376522,5.363220930099487,0.2179924242424242,0.8974358974358975,0.09020979020979025,0
target_pr,Step09FusionBenchmark,image_only,False,True,97,19,16,0.5384615384615384,0.5692307692307692,0.6666666666666666,0.6153846153846154,0.3,0.4363636363636364,0.3782051282051282,0.36363636363636365,0.5181818181818182,0.4,0.6363636363636364,0.3333333333333333,0.7,2,7,4,3,False,0.034815531191139566,4.532700777053833,0.08333333333333337,0.8185876623376623,0.10209790209790204,0
target_pr,Step09FusionBenchmark,hybrid_fusion,True,True,97,19,16,0.6794871794871794,0.7025641025641025,0.6666666666666666,0.8461538461538461,0.4,0.5272727272727272,0.39305555555555555,0.2222222222222222,0.4636363636363636,0.2,0.7272727272727273,0.25,0.6666666666666666,1,8,3,4,False,-0.0778498944161523,4.929886102676392,0.18649839743589744,0.8541666666666666,0.15221445221445218,0
target_her2,Step09FusionBenchmark,radiomics_only,False,False,95,20,17,0.6161616161616162,0.6237373737373738,0.6363636363636364,0.7777777777777778,0.65,0.625,0.6405695611577964,0.18181818181818182,0.4930555555555556,0.1111111111111111,0.875,0.5,0.4666666666666667,1,7,1,8,False,-0.02151657414559676,0.6716647638994104,0.3181818181818182,0.9,-0.008838383838383757,0
target_her2,Step09FusionBenchmark,image_only,True,True,95,20,17,0.797979797979798,0.8146464646464646,0.8181818181818182,0.8888888888888888,0.45,0.5,0.5581587620803308,0.42857142857142855,0.5416666666666666,0.3333333333333333,0.75,0.6,0.5,3,6,2,6,False,0.09128709291752769,2.0983134578256046,0.2,0.7779166666666667,0.297979797979798,0
target_her2,Step09FusionBenchmark,hybrid_fusion,False,True,95,20,17,0.7272727272727273,0.7348484848484849,0.7272727272727273,0.7777777777777778,0.5,0.4583333333333333,0.4994406827740161,0.26666666666666666,0.3611111111111111,0.2222222222222222,0.5,0.3333333333333333,0.36363636363636365,2,4,4,7,False,-0.29012942659282975,0.856151307330412,0.125,0.771461038961039,0.268939393939394,0
