feature,importance,importance_type
n_cases_patient,0.4831034462541786,abs_coefficient
patient_meta_mask_fill_ratio_in_bbox_mean,0.37791434854888517,abs_coefficient
patient_original_glrlm_graylevelnonuniformity_mean,0.21814982210648226,abs_coefficient
patient_meta_final_resolution_confidence_n_unique,0.17361060633820574,abs_coefficient
mean_lesion_volume_cc,0.08626562444538226,abs_coefficient
patient_meta_mask_fill_ratio_in_bbox_max,0.06326076468169409,abs_coefficient
patient_original_firstorder_variance_max,0.052321518916421485,abs_coefficient
