target,target_name,model,n_train,n_valid,n_test,n_features,best_threshold,valid_AUROC,valid_composite_score,test_AUROC,test_AUPRC,test_F1,test_Balanced_Acc,test_Sensitivity,test_Specificity,test_PPV_Precision,test_NPV,test_TP,test_TN,test_FP,test_FN,test_degenerate_prediction,test_MCC,test_AUROC_CI95_lower,test_AUROC_CI95_upper,test_generalization_gap
target_er,ER,AttentionMIL,100,19,16,107,0.4,0.788888888888889,0.7405555555555556,0.5555555555555555,0.6577380952380952,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,4,6,3,3,False,0.23809523809523808,0.21793560606060608,0.890909090909091,0.2333333333333335
target_er,ER,GatedAttentionMIL,100,19,16,107,0.55,0.7333333333333333,0.7183333333333333,0.6031746031746031,0.6960927960927961,0.4,0.4365079365079365,0.42857142857142855,0.4444444444444444,0.375,0.5,3,4,5,4,False,-0.1259881576697424,0.25,0.9001190476190475,0.13015873015873014
target_pr,PR,AttentionMIL,97,19,16,107,0.5,0.6538461538461539,0.6615384615384615,0.6545454545454545,0.6412698412698412,0.5,0.6545454545454545,0.4,0.9090909090909091,0.6666666666666666,0.7692307692307693,2,10,1,3,False,0.3670584895244009,0.27236652236652237,1.0,-0.0006993006993006867
target_pr,PR,GatedAttentionMIL,97,19,16,107,0.5,0.6794871794871794,0.6794871794871794,0.7454545454545455,0.6766233766233767,0.4444444444444444,0.6090909090909091,0.4,0.8181818181818182,0.5,0.75,2,9,2,3,False,0.23354968324845687,0.44357638888888884,1.0,-0.06596736596736608
target_her2,HER2,AttentionMIL,95,20,17,107,0.35,0.595959595959596,0.6095959595959596,0.6111111111111112,0.7443139649022001,0.6363636363636364,0.5138888888888888,0.7777777777777778,0.25,0.5384615384615384,0.5,7,2,6,2,False,0.03268602252303067,0.3333333333333333,0.9,-0.015151515151515138
target_her2,HER2,GatedAttentionMIL,95,20,17,107,0.4,0.5555555555555556,0.5843434343434344,0.5277777777777778,0.6208886248101935,0.47058823529411764,0.4722222222222222,0.4444444444444444,0.5,0.5,0.4444444444444444,4,4,4,5,False,-0.05555555555555555,0.2421969696969697,0.8429662698412698,0.02777777777777779
