scope,target,target_display,model_a,model_b,n_paired,n_positive,n_negative,AUROC_a,AUROC_b,AUROC_diff_a_minus_b,bootstrap_diff_ci95_lower,bootstrap_diff_ci95_upper,bootstrap_p_two_sided,bootstrap_n_valid,delong_p,delong_status,delong_auc_a,delong_auc_b,bootstrap_p_two_sided_fdr_bh,delong_p_fdr_bh
internal_locked_test,target_er,ER,all_features|eb_combat|pls_logistic,all_features|simple_combat|pls_logistic,16,7,9,0.7619047619047619,0.3968253968253968,0.36507936507936506,0.018143939393939414,0.7143452380952383,0.042652449183605466,3000,0.03537922971753445,ok,0.7619047619047621,0.39682539682539686,0.20743085638120626,0.2071284514427394
internal_locked_test,target_er,ER,all_features|eb_combat|pls_logistic,all_features|none|pls_logistic,16,7,9,0.7619047619047619,0.4285714285714286,0.33333333333333326,0.04153409090909092,0.6333333333333333,0.031322892369210265,3000,0.025874997676242805,ok,0.7619047619047621,0.4285714285714286,0.20743085638120626,0.2071284514427394
internal_locked_test,target_er,ER,all_features|eb_combat|pls_logistic,radiomics_pure|simple_combat|pls_logistic,16,7,9,0.7619047619047619,0.4761904761904762,0.28571428571428564,-0.047678571428571515,0.6191964285714291,0.10129956681106297,3000,0.09845850237758408,ok,0.7619047619047621,0.4761904761904763,0.256164611796068,0.24948952383704673
internal_locked_test,target_er,ER,radiomics_pure|eb_combat|pls_logistic,radiomics_pure|simple_combat|pls_logistic,16,7,9,0.7301587301587302,0.4761904761904762,0.253968253968254,-0.07815600198412698,0.5873015873015873,0.13662112629123627,3000,0.13739482585580087,ok,0.7301587301587302,0.4761904761904763,0.256164611796068,0.2576152984796266
internal_locked_test,target_er,ER,all_features|eb_combat|pls_logistic,radiomics_pure|none|pls_logistic,16,7,9,0.7619047619047619,0.6031746031746033,0.1587301587301586,-0.033333333333333326,0.375,0.13062312562479172,3000,0.09979580953481869,ok,0.7619047619047621,0.6031746031746033,0.256164611796068,0.24948952383704673
internal_locked_test,target_er,ER,radiomics_pure|none|pls_logistic,radiomics_pure|simple_combat|pls_logistic,16,7,9,0.6031746031746033,0.4761904761904762,0.12698412698412703,-0.1904761904761904,0.4363636363636364,0.4525158280573142,3000,0.4353313243498492,ok,0.6031746031746033,0.4761904761904763,0.6170670382599739,0.5441641554373116
internal_locked_test,target_er,ER,radiomics_pure|eb_combat|pls_logistic,radiomics_pure|none|pls_logistic,16,7,9,0.7301587301587302,0.6031746031746033,0.12698412698412698,-0.04761904761904767,0.3492063492063492,0.20793068977007664,3000,0.181915877434649,ok,0.7301587301587302,0.6031746031746033,0.31189603465511495,0.29206956320534677
internal_locked_test,target_er,ER,all_features|none|pls_logistic,all_features|simple_combat|pls_logistic,16,7,9,0.4285714285714286,0.3968253968253968,0.0317460317460318,-0.15873015873015872,0.2545920745920748,0.8937020993002333,3000,0.7456027889274617,ok,0.4285714285714286,0.39682539682539686,0.8937020993002333,0.7948240223757946
internal_locked_test,target_er,ER,all_features|eb_combat|pls_logistic,radiomics_pure|eb_combat|pls_logistic,16,7,9,0.7619047619047619,0.7301587301587302,0.03174603174603163,0.0,0.1428571428571429,0.8510496501166278,3000,0.4008141693829334,ok,0.7619047619047621,0.7301587301587302,0.8937020993002333,0.5441641554373116
internal_locked_test,target_er,ER,all_features|none|pls_logistic,radiomics_pure|simple_combat|pls_logistic,16,7,9,0.4285714285714286,0.4761904761904762,-0.047619047619047616,-0.4126984126984126,0.3125,0.7997334221926025,3000,0.7948240223757946,ok,0.4285714285714286,0.4761904761904763,0.8937020993002333,0.7948240223757946
internal_locked_test,target_er,ER,all_features|simple_combat|pls_logistic,radiomics_pure|simple_combat|pls_logistic,16,7,9,0.3968253968253968,0.4761904761904762,-0.07936507936507942,-0.421875,0.28127003205128215,0.6631122959013662,3000,0.6601849809987845,ok,0.39682539682539686,0.4761904761904763,0.8288903698767078,0.7617519011524436
internal_locked_test,target_er,ER,all_features|none|pls_logistic,radiomics_pure|none|pls_logistic,16,7,9,0.4285714285714286,0.6031746031746033,-0.17460317460317465,-0.43333333333333324,0.046875,0.1299566811062979,3000,0.12623824177071247,ok,0.4285714285714286,0.6031746031746033,0.256164611796068,0.2576152984796266
internal_locked_test,target_er,ER,all_features|simple_combat|pls_logistic,radiomics_pure|none|pls_logistic,16,7,9,0.3968253968253968,0.6031746031746033,-0.20634920634920645,-0.5396825396825398,0.11125000000000056,0.1979340219926691,3000,0.19471304213689783,ok,0.39682539682539686,0.6031746031746033,0.31189603465511495,0.29206956320534677
internal_locked_test,target_er,ER,all_features|none|pls_logistic,radiomics_pure|eb_combat|pls_logistic,16,7,9,0.4285714285714286,0.7301587301587302,-0.3015873015873016,-0.6167045454545454,-0.015873015873015924,0.04465178273908697,3000,0.05247949955924664,ok,0.4285714285714286,0.7301587301587302,0.20743085638120626,0.2071284514427394
