target,target_name,backbone,n_train,n_valid,n_test,best_threshold,valid_AUROC,valid_composite_score,test_AUROC,test_AUPRC,test_F1,test_Balanced_Acc,test_Sensitivity,test_Specificity,test_PPV_Precision,test_NPV,test_TP,test_TN,test_FP,test_FN,test_degenerate_prediction,test_MCC,test_Loss,test_AUROC_CI95_lower,test_AUROC_CI95_upper,test_generalization_gap
target_er,ER,efficientnet_b0,100,19,16,0.55,0.7222222222222223,0.7122222222222223,0.5714285714285714,0.5238095238095238,0.4,0.5873015873015872,0.2857142857142857,0.8888888888888888,0.6666666666666666,0.6153846153846154,2,8,1,5,False,0.2219167619785609,0.17633023858070374,0.27265512265512265,0.8541761363636364,0.15079365079365092
target_pr,PR,efficientnet_b0,97,19,16,0.5,0.7179487179487178,0.7198717948717948,0.4727272727272727,0.32976190476190476,0.4,0.4818181818181818,0.6,0.36363636363636365,0.3,0.6666666666666666,3,4,7,2,False,-0.034815531191139566,0.2309257686138153,0.15873015873015872,0.7999999999999999,0.24522144522144512
target_her2,HER2,efficientnet_b0,95,20,17,0.5,0.7878787878787878,0.7606060606060605,0.5416666666666666,0.6945987654320989,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5,0.5555555555555556,0.5,5,4,4,4,False,0.05555555555555555,0.16211464650490703,0.2361111111111111,0.8333333333333334,0.24621212121212122
