feature,ks,p,smd,p_fdr
original_shape_Maximum2DDiameterSlice,0.3184,4.161678075598196e-06,0.4996,6.746962940742531e-06
original_glszm_SizeZoneNonUniformity,0.314,5.9193843109373034e-06,0.3013,9.45334509358644e-06
original_ngtdm_Coarseness,0.3113,7.34007281066873e-06,-0.6095,1.1549820452081678e-05
original_gldm_DependenceNonUniformity,0.3101,8.13433607105285e-06,0.3072,1.2614115356560216e-05
original_glszm_ZoneEntropy,0.3029,1.4423331288759833e-05,0.6452,2.20470921128186e-05
original_shape_Elongation,0.3018,1.5904525871635045e-05,0.211,2.396879251077394e-05
original_shape_Maximum3DDiameter,0.3002,1.7740757252249217e-05,0.4579,2.6364736472092587e-05
original_glszm_SizeZoneNonUniformityNormalized,0.3001,1.822172009424694e-05,-0.6171,2.670854863129346e-05
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.2969,2.28786453115859e-05,-0.6793,3.3081284437022855e-05
original_glcm_JointEntropy,0.2957,2.5213237254351206e-05,0.5237,3.5970885149541055e-05
original_glszm_SmallAreaHighGrayLevelEmphasis,0.2947,2.6833341792542598e-05,-0.4435,3.777852068160602e-05
original_gldm_HighGrayLevelEmphasis,0.2919,3.333528903859406e-05,-0.5597,4.6323063988695646e-05
original_shape_MajorAxisLength,0.2808,7.595414523886568e-05,0.4005,0.00010419350693023882
original_glrlm_HighGrayLevelRunEmphasis,0.2759,0.00010833545575605896,-0.5271,0.00014673283247972543
original_glrlm_ShortRunLowGrayLevelEmphasis,0.2747,0.00011837963145300279,-0.4246,0.00015833275706839123
original_glrlm_ShortRunHighGrayLevelEmphasis,0.2741,0.00012374947011328796,-0.558,0.00016347152224841744
original_glrlm_LowGrayLevelRunEmphasis,0.2598,0.00032849199083395675,-0.1187,0.00042864198803943136
original_glcm_SumAverage,0.2582,0.0003666761481745384,-0.5796,0.00046707556969851916
original_glcm_JointAverage,0.2582,0.0003666761481745384,-0.5796,0.00047270298620091095
original_glcm_DifferenceVariance,0.257,0.000398005853845973,-0.4077,0.0005010191336649307
original_glcm_Correlation,0.2498,0.0006366017735990326,0.4917,0.0007920510438964708
original_glszm_LargeAreaLowGrayLevelEmphasis,0.2496,0.0006484223287469559,0.12,0.000797484933056601
original_ngtdm_Busyness,0.2414,0.0010929198777982485,0.4021,0.001328891215050143
original_shape_Sphericity,0.2376,0.0013782447745295245,-0.1115,0.001656990908704035
original_glcm_SumEntropy,0.2277,0.002459218269766139,0.425,0.002923737276277521
original_gldm_LowGrayLevelEmphasis,0.2267,0.002614174337563835,-0.0883,0.003073809385926707
original_ngtdm_Complexity,0.2199,0.003891121798856312,-0.2186,0.004525543831278536
original_glrlm_RunEntropy,0.2195,0.003948344801237513,0.438,0.004494392486515042
original_glcm_JointEnergy,0.2195,0.003948344801237513,-0.1617,0.004542719287445311
original_glcm_Autocorrelation,0.2176,0.004438698200450619,-0.4737,0.004999375867875961
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.2098,0.006787680914207672,0.1464,0.007565436018960634
original_glszm_GrayLevelNonUniformityNormalized,0.1996,0.01146702280721823,-0.4069,0.01264919010693145
original_glcm_MaximumProbability,0.189,0.019595564571674662,-0.1228,0.021395157236420295
original_glrlm_LongRunLowGrayLevelEmphasis,0.1813,0.02815422722793426,0.1199,0.03042931629685824
original_glrlm_LongRunHighGrayLevelEmphasis,0.1773,0.03389711059395417,-0.3385,0.03626990833553097
original_glcm_DifferenceEntropy,0.1531,0.09373453918389418,0.268,0.09930292765026413
original_glszm_HighGrayLevelZoneEmphasis,0.1371,0.17022905238613328,-0.1782,0.1785736137776104
original_glcm_ClusterShade,0.1313,0.20818294758188416,0.2173,0.21626772224525828
original_firstorder_Entropy,0.1159,0.3375970633779307,0.0715,0.3473354402061402
original_firstorder_Skewness,0.0919,0.6246260174304548,0.1534,0.6365236558577015
original_glrlm_GrayLevelNonUniformityNormalized,0.0916,0.6278648046753593,0.0646,0.6337880575496552
original_firstorder_Uniformity,0.0866,0.6951099083535371,0.0799,0.6951099083535371
