target,feature_set_variant,AUROC,AUPRC,Balanced_Acc,F1,nested_cv_auroc_mean,generalization_gap_AUROC
target_er,acquisition_only,0.5714285714285714,0.4761904761904762,0.5317460317460317,0.36363636363636365,0.5555604118104117,-0.0159
target_er,radiomics_plus_burden,0.6984126984126984,0.7365079365079366,0.6428571428571428,0.4444444444444444,0.5393987956487957,-0.159
target_er,all_features,0.5238095238095238,0.6111721611721612,0.5,0.0,0.5184391996891997,-0.0054
target_er,radiomics_pure,0.6031746031746033,0.5732735518449804,0.5158730158730158,0.2222222222222222,0.4780351592851592,-0.1251
target_her2,acquisition_only,0.7777777777777778,0.7908496732026145,0.7777777777777778,0.7142857142857143,0.5833333333333333,-0.1944
target_her2,radiomics_pure,0.5,0.570501258001258,0.47916666666666663,0.4,0.49696969696969695,-0.003
target_her2,radiomics_plus_burden,0.5555555555555556,0.7020574559790246,0.4444444444444444,0.64,0.4924242424242425,-0.0631
target_her2,all_features,0.41666666666666663,0.49853011911835443,0.4097222222222222,0.4444444444444444,0.4833333333333334,0.0667
target_pr,acquisition_only,0.5,0.31666666666666665,0.5,0.47619047619047616,0.4710416666666667,-0.029
target_pr,all_features,0.6181818181818183,0.5657142857142856,0.5545454545454546,0.2857142857142857,0.4593229166666667,-0.1589
target_pr,radiomics_plus_burden,0.6181818181818183,0.5657142857142856,0.5545454545454546,0.2857142857142857,0.45015625000000004,-0.168
target_pr,radiomics_pure,0.6181818181818183,0.5657142857142856,0.5,0.0,0.4406770833333333,-0.1775
