feature,importance,importance_type
patient_meta_final_resolution_confidence_n_unique,0.3680782074263841,model_native
patient_meta_n_components_max,0.21520575697257457,model_native
patient_original_gldm_largedependencehighgraylevelemphasis_iqr,0.16146664190107463,model_native
patient_meta_age_max,0.13719170850172313,model_native
patient_original_gldm_dependencenonuniformity_max,0.07138756138258248,model_native
patient_original_gldm_graylevelnonuniformity_min,0.046670123815661047,model_native
