target,target_display,scenario,feature_set_variant,model,model_display,mean_inner_cv_auroc,std_inner_cv_auroc,n_outer_folds_as_winner
target_er,ER,nested_cv_leakage_safe,radiomics_only,lgbm,LightGBM,0.5001981209150327,0.06390526405429241,3
target_er,ER,nested_cv_leakage_safe,radiomics_only,elastic_net_sparse,Elastic Net (Sparse),0.4845746527777778,0.02309924376885315,1
target_er,ER,nested_cv_leakage_safe,radiomics_only,pls_logistic,PLS + Logistic,0.48165900735294115,0.031143880764099855,0
target_er,ER,nested_cv_leakage_safe,radiomics_only,lgbm_strong,LightGBM (Strong Reg.),0.4793045343137255,0.02431048919760478,0
target_er,ER,nested_cv_leakage_safe,radiomics_only,elastic_net_strong,Elastic Net (Strong),0.478764808006536,0.03293246389383265,1
target_er,ER,nested_cv_leakage_safe,radiomics_only,svm_linear,Linear SVM (Calibrated),0.4780805759803921,0.032531764035035285,0
target_er,ER,nested_cv_leakage_safe,radiomics_only,elastic_net,Elastic Net (L1+L2),0.46853298611111105,0.028790381394949948,0
target_er,ER,nested_cv_leakage_safe,radiomics_only,xgb,XGBoost,0.4676628880718954,0.042639857659749585,0
target_er,ER,nested_cv_leakage_safe,radiomics_only,extra_trees,Extra Trees,0.4623386437908497,0.030358117914251945,0
