feature,importance,importance_std,importance_type
patient_meta_pixel_spacing_n_unique,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_sex_n_unique,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_year_max,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_year_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_year_min,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_magnetic_field_strength_id_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_10percentile_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_10percentile_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_10percentile_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_10percentile_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_10percentile_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_10percentile_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_90percentile_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_90percentile_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_90percentile_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_90percentile_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_90percentile_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_90percentile_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_energy_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_energy_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_energy_max,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_mask_voxel_count_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_energy_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_energy_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_entropy_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_entropy_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_entropy_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_entropy_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_entropy_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_entropy_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_interquartilerange_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_interquartilerange_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_interquartilerange_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_interquartilerange_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_interquartilerange_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_interquartilerange_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_kurtosis_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_year_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_kurtosis_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_kurtosis_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_kurtosis_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_kurtosis_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_maximum_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_maximum_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_maximum_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_maximum_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_maximum_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_maximum_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_mean_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_mean_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_mean_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_mean_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_mean_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_energy_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_median_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_median_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_median_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_median_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_median_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_median_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_minimum_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_minimum_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_minimum_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_minimum_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_minimum_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_minimum_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_range_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_range_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_range_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_kurtosis_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_range_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_range_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_rootmeansquared_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_rootmeansquared_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_rootmeansquared_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_rootmeansquared_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_rootmeansquared_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_rootmeansquared_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_totalenergy_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_totalenergy_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_totalenergy_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_totalenergy_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_totalenergy_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_totalenergy_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_variance_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_mean_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_variance_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_variance_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_firstorder_variance_min,0.0,0.0,permutation_roc_auc_locked_test
