target,scenario,AUROC,AUPRC,Balanced_Acc,F1,nested_cv_auroc_mean
target_er,nested_cv_leakage_safe,0.6984126984126984,0.7365079365079366,0.6428571428571428,0.4444444444444444,0.5555604118104117
target_her2,nested_cv_leakage_safe,0.7777777777777778,0.7908496732026145,0.7777777777777778,0.7142857142857143,0.5833333333333333
target_pr,nested_cv_leakage_safe,0.6181818181818183,0.5657142857142856,0.5545454545454546,0.47619047619047616,0.4710416666666667
