target,model,variant,selected_by_validation,image_stream_used,n_train,n_valid,n_test,valid_AUROC,valid_composite_score,valid_Sensitivity,valid_Specificity,best_threshold,test_AUROC,test_AUPRC,test_F1,test_Balanced_Acc,test_Sensitivity,test_Specificity,test_PPV_Precision,test_NPV,test_TP,test_TN,test_FP,test_FN,test_degenerate_prediction,test_MCC,test_Loss,test_AUROC_CI95_lower,test_AUROC_CI95_upper,test_generalization_gap,test_skipped_nonfinite_batches
target_er,Step09FusionBenchmark,image_only,True,True,100,19,16,0.6666666666666667,0.69,0.6,0.8888888888888888,0.5,0.5238095238095238,0.5529238618524333,0.5333333333333333,0.5634920634920635,0.5714285714285714,0.5555555555555556,0.5,0.625,4,5,4,3,False,0.1259881576697424,1.6860873103141785,0.20631868131868136,0.8183621933621933,0.1428571428571429,0
target_pr,Step09FusionBenchmark,hybrid_fusion,True,True,97,19,16,0.6794871794871794,0.7025641025641025,0.6666666666666666,0.8461538461538461,0.4,0.5272727272727272,0.39305555555555555,0.2222222222222222,0.4636363636363636,0.2,0.7272727272727273,0.25,0.6666666666666666,1,8,3,4,False,-0.0778498944161523,4.929886102676392,0.18649839743589744,0.8541666666666666,0.15221445221445218,0
target_her2,Step09FusionBenchmark,image_only,True,True,95,20,17,0.797979797979798,0.8146464646464646,0.8181818181818182,0.8888888888888888,0.45,0.5,0.5581587620803308,0.42857142857142855,0.5416666666666666,0.3333333333333333,0.75,0.6,0.5,3,6,2,6,False,0.09128709291752769,2.0983134578256046,0.2,0.7779166666666667,0.297979797979798,0
