target_display,feature_set_variant,mean,sd,pct2_5,pct97_5,min,max,n_repeats
ER,all_features,0.4981759906759906,0.0432703455436301,0.417995945027195,0.559155982905983,0.399048174048174,0.567433954933955,10
ER,radiomics_pure,0.4935581779331778,0.0371295471527555,0.4538914384226884,0.5589404865967366,0.4521464646464646,0.5624271561771561,10
HER2,all_features,0.5102272727272728,0.0410371017498625,0.4586363636363637,0.5650378787878788,0.4545454545454546,0.5674242424242425,10
HER2,radiomics_pure,0.4933333333333333,0.0414984360165195,0.4260037878787878,0.556590909090909,0.4196969696969696,0.5613636363636363,10
PR,all_features,0.5556770833333333,0.0173899933366421,0.5306276041666667,0.5814453125,0.5276041666666667,0.5815625,10
PR,radiomics_pure,0.5620989583333333,0.0295015808690835,0.5236510416666667,0.61359375,0.5176041666666666,0.61875,10
ER,acquisition_only,0.4937752525252525,0.0089074681004431,0.4823295454545454,0.5079924242424242,0.4818181818181818,0.5083333333333333,10
ER,radiomics_plus_burden,0.5111616161616162,0.041902791049422,0.4362799873737373,0.5606155303030304,0.4277146464646464,0.5615530303030304,10
HER2,acquisition_only,0.5125,0.0188879773452607,0.4859848484848485,0.5399621212121213,0.4825757575757576,0.5416666666666667,10
HER2,radiomics_plus_burden,0.5124455922865014,0.0429443664763308,0.4349011707988981,0.5640557851239668,0.4238154269972452,0.5650413223140495,10
PR,acquisition_only,0.5084464285714285,0.0176878316028358,0.4795565476190476,0.5278690476190475,0.4790476190476191,0.5279761904761904,10
PR,radiomics_plus_burden,0.5547321428571428,0.0454721151287598,0.4785133928571429,0.611922619047619,0.4698214285714286,0.6169047619047618,10
